timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1711000960677,1497,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1497,0,0
1711000961477,994,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,994,0,0
1711000960227,2246,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-4,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,2246,0,0
1711000961781,1297,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1297,0,0
1711000961979,1294,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1294,0,0
1711000962174,1100,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-1,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1100,0,0
1711000962471,1003,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-5,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1003,0,0
1711000962473,1002,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-4,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,1002,0,0
1711000963078,998,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-3,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,998,0,0
1711000963273,907,Ask BOT,500,Internal Server Error,172.19.252.205:1099-Thread Group 1-2,text,false,,362,513,5,5,https://ica-backend-js-stage.interfacechatbotapplication.chat/app/v1/ask-bot,907,0,0
